 "Building development tools interactively using the EKEKO meta-programming library"  $ "De Roover C., Stevens R."  $ reviewer2 $ (1,)
 "CLIMA: A weather generator framework"  $ "Donatelli M., Bellocchi G., Habyarimana E., Bregaglio S., Confalonieri R., Baruth B."  $ reviewer2 $ (1,)
 "Certification tools of ubiquitous mobile platform"  $ "Lee S.-Y., Choi B.-U."  $ reviewer1 $ (1,)
 "Comparing the usability of grid-bag and constraint-based layouts"  $ "Zeidler C., Müller J., Lutteroth C., Weber G."  $ reviewer2 $ (1,)
 "Comparison and evaluation of source code mining tools and techniques: A qualitative approach"  $ "Khatoon S., Li G., Mahmood A."  $ reviewer1 $ (1,)
 "Comparison of POSIX threads, OpenMP and C++11 concurrency frameworks"  $ "Weiss J.M."  $ reviewer1 $ (1,)
 "Comparison of reasoners for large ontologies in the OWL 2 EL profile"  $ "Dentler K., Cornet R., Ten Teije A., De Keizer N."  $ reviewer2 $ (0,)
 "Complex Elastic Optical Network Simulator (CEONS)"  $ "Aibin M., Blazejewski M."  $ reviewer2 $ (1,)
 "Computing framework for dynamic integration of reconfigurable resources in a cloud"  $ "Knodel O., Spallek R.G."  $ reviewer2 $ (1,)
 "Concurrency vulnerabilities"  $ "Burns A., Wettings A.J."  $ reviewer2 $ (1,)
 "Consensus-based mining of API preconditions in big code"  $ "Nguyen H.A., Dyer R., Nguyen T.N., Rajan H."  $ reviewer1 $ (1,)
 "Consistent integration of formal methods"  $ "Braun P., Lötzbeyer H., Schätz B., Slotosch O."  $ reviewer2 $ (1,)
 "Correct code containing containers"  $ "Dross C., Filliâtre J.-C., Moy Y."  $ reviewer1 $ (1,)
 "Declarative AR and image processing on the Web with Xflow"  $ "Klein F., Rubinsteiny D., Sonsz K., Einabadix F., Herhut S., Slusallek P."  $ reviewer1 $ (1,)
 "Demonstrating information in simple gestures"  $ "Pastel R., Skalsky N."  $ reviewer2 $ (1,)
 "Deriving folksonomies for improving web API search"  $ "Bianchini D."  $ reviewer1 $ (1,)
 "Design and implementation of surrounding transaction plotting and management system based on Google map API"  $ "Cao Y., Hua Y., Zhao J., Guo S."  $ reviewer2 $ (0,)
 "Design of Holmes: a tool for domain analysis and engineering"  $ "Succi G., Eberlein A., Yip J., Luc K., Nguy M., Tan Y."  $ reviewer1 $ (1,)
 "Detecting resource leaks through dynamical mining of resource usage patterns"  $ "Zhang H., Wu G., Chow K., Yu Z., Xing X."  $ reviewer1 $ (1,)
 "Developing a GroupNet system to solve groupthink problem"  $ "Chen N.-S., Wei C.-W., Chen W.-S."  $ reviewer2 $ (1,)
 "Development of APIs for desktop supercomputing"  $ "Kim G., Suzuki Y., Nishida A., Takemiya H."  $ reviewer2 $ (1,)
 "Development of CAN-1394 automotive gateway system using designed modular software stack"  $ "Park P., Jung J., Huh B."  $ reviewer2 $ (1,)
 "Development of a new interchangeable virtual instrument class specification"  $ "Kennedy C."  $ reviewer1 $ (1,)
 "DiamondHelp: A generic collaborative task guidance system"  $ "Rich C., Sidner C.L."  $ reviewer2 $ (1,)
 "Dynamic analysis of enterprise business scenarios"  $ "Budnik L., Krawczyk H."  $ reviewer1 $ (1,)
 "E-health oriented application for mobile phones"  $ "Podziewski A., Litwiniuk K., Legierski J."  $ reviewer2 $ (1,)
 "Easy concurrency"  $ "Aizman A."  $ reviewer2 $ (1,)
 "Eclipse API usage: the good and the bad"  $ "Businge J., Serebrenik A., van den Brand M.G.J."  $ reviewer2 $ (1,)
 "Effective typestate verification in the presence of aliasing"  $ "Fink S., Yahav E., Dor N., Ramalingam G., Geav E."  $ reviewer2 $ (1,)
 "Effective typestate verification in the presence of aliasing"  $ "Fink S.J., Yahav E., Dor N., Ramalingam G., Geay E."  $ reviewer1 $ (1,)
 "Empirical analysis of GUI programming concerns"  $ "Mijailović Ž., Milićev D."  $ reviewer1 $ (1,)
 "Enabling parallel computing of a brain connectivity map using the MediGRID-infrastructure and FSL"  $ "Gruetz R., Focke N.K., Hoheisel A., Krefting D., Loehnhardt B., Viezens F., Dickmann F."  $ reviewer2 $ (0,)
 "Enhancing the Usability and Utilization of Accelerated Architectures via Docker"  $ "Haydel N., Gesing S., Taylor I., Madey G., Dakkak A., De Gonzalo S.G., Hwu W.-M.W."  $ reviewer1 $ (1,)
 "Evaluation of a programming toolkit for interactive public display applications"  $ "Cardoso J.C.S., José R."  $ reviewer1 $ (1,)
 "Experiences with OpenMP, PGI, HMPP and OpenACC directives on ISO/TTI kernels"  $ "Ghosh S., Liao T., Calandra H., Chapman B.M."  $ reviewer2 $ (0,)
 "Experiences with user-centered design for the tigres workflow API"  $ "Ramakrishnan L., Poon S., Hendrix V., Gunter D., Pastorello G.Z., Agarwal D."  $ reviewer2 $ (1,)
 "Extending relational data access programming libraries for fuzziness: The fJDBC framework"  $ "Sicilia M.-A., García E., Díaz P., Aedo I."  $ reviewer2 $ (1,)
 "Extinct village 3D visualization and its evaluation with eye-movement recording"  $ "Popelka S., Dedkova P."  $ reviewer1 $ (1,)
 "Extracting code examples from unit test cases"  $ "Ghafari M."  $ reviewer1 $ (1,)
 "Fast splittable pseudorandom number generators"  $ "Steele G.L., Jr., Lea D., Flood C.H."  $ reviewer1 $ (1,)
 "Finding error handling bugs in OpenSSL using Coccinelle"  $ "Lawall J., Laurie B., Hansen R.R., Palix N., Muller G."  $ reviewer2 $ (1,)
 "GPU-based trimming and tessellation of NURBS and T-Spline surfaces"  $ "Guthe M., Balázs Á., Klein R."  $ reviewer1 $ (1,)
 "GRB-WAPI, a RESTful framework for grid portals"  $ "De Luca V., Epicoco I., Lezzi D., Aloisio G."  $ reviewer2 $ (0,)
 "Generating smart wrapper libraries for arbitrary APIs"  $ "Jugel U."  $ reviewer2 $ (1,)
 "GraPacc: A graph-based pattern-oriented, context-sensitive code completion tool"  $ "Nguyen A.T., Nguyen H.A., Nguyen T.T., Nguyen T.N."  $ reviewer1 $ (1,)
 "Graph-based pattern-oriented, context-sensitive source code completion"  $ "Nguyen A.T., Nguyen T.T., Nguyen H.A., Tamrawi A., Nguyen H.V., Al-Kofahi J., Nguyen T.N."  $ reviewer1 $ (1,)
 "Guest editorial: Advanced convergence technologies: Big data, IoT, cloud computing"  $ "Park J.H., Hung J.C., Yen N.Y., Jeong Y.-S."  $ reviewer1 $ (1,)
 "HTML5 Technologies for Effective Cross-Platform Interactive/Smart TV Advertising"  $ "Perakakis E., Ghinea G."  $ reviewer1 $ (1,)
 "HabaneroUPC++: A compiler-free PGAS library"  $ "Kumar V., Zheng Y., Cavé V., Budimlić Z., Sarkar V."  $ reviewer1 $ (1,)
 "HapFACS: An open source API/Software to generate FACS-based expressions for ECAs animation and for corpus generation"  $ "Amini R., Lisetti C."  $ reviewer1 $ (1,)
 "Human-Centered Software Engineering - 4th International Conference, HCSE 2012, Proceedings"  $ "[No author name available]"  $ reviewer2 $ (4,)
 "Hypersonic: Model analysis and checking in the cloud"  $ "Acretoaie V., Störrle H."  $ reviewer1 $ (1,)
 "IEEE International Conference on Program Comprehension"  $ "[No author name available]"  $ reviewer2 $ (2,)
 "Idea: Usable platforms for secure programming – mining Unix for insight and guidelines"  $ "Türpe S."  $ reviewer1 $ (1,)
 "InSeRt - An intent-based service request API for service exposure in Next Generation Networks"  $ "Blum N., Dutkowski S., Magedanz T."  $ reviewer1 $ (1,)
 "Information flow enforcement in monadic libraries"  $ "Devriese D., Piessens F."  $ reviewer1 $ (1,)
 "Innovative approach for emission monitoring and control"  $ "Gokhale P.S."  $ reviewer1 $ (1,)
 "Iterative design and evaluation of an event architecture for pen-and-paper interfaces"  $ "Yeh R.B., Paepcke A., Klemmer S.R."  $ reviewer2 $ (1,)
 "Itus: An implicit authentication framework for android"  $ "Khan H., Atwater A., Hengartner U."  $ reviewer1 $ (1,)
 "Jury API: Secure client-side-only multiplayer gaming API"  $ "Zibin Y."  $ reviewer2 $ (1,)
 "KMA: A dynamic memory manager for OpenCL"  $ "Spliet R., Howes L., Gaster B.R., Varbanescu A.L."  $ reviewer2 $ (1,)
